20140901,331054012.277548,316907170.54493916
20140902,331875844.5305549,337245612.33233553
20140903,333890379.9639756,363242232.9530711
20140904,298317842.4623241,307467917.73615897
20140905,240750566.52606463,262800726.6830354
20140906,226614035.45304725,225869264.54072562
20140907,243555925.54674146,259213303.9422609
20140908,297087247.9811146,311546096.0704822
20140909,332127074.92564017,347743027.36266196
20140910,326519195.46496385,356239940.52972525
20140911,291683044.29001224,309269874.4857042
20140912,239269704.35966825,259846228.76023412
20140913,225355389.5170435,233908591.914793
20140914,247529467.0289392,257816487.74272355
20140915,295094439.0537124,312548056.9153425
20140916,334500852.65761954,353723290.19969225
20140917,328081084.36075085,357359326.7658577
20140918,292709008.7824894,314614927.17394954
20140919,244896135.2404512,262654680.82825455
20140920,227571600.37797108,238740649.72439438
20140921,253023748.8067601,261615271.0161602
20140922,298072692.98020077,315715364.10857606
20140923,336674734.26512754,358811007.66806793
20140924,332193877.22369623,361151065.96681875
20140925,294709692.6189214,319789614.2346814
20140926,250537770.59134057,267198686.59905073
20140927,231827361.2342401,243280294.85544688
20140928,257448052.8178624,266115091.81760508
20140929,302570937.1043328,319710470.8085767
20140930,338701881.03196466,363547778.2294526
